Category: All categories

Month,One Piece: (Worldwide)
2004-01,10
2004-02,9
2004-03,9
2004-04,9
2004-05,10
2004-06,9
2004-07,10
2004-08,9
2004-09,9
2004-10,9
2004-11,9
2004-12,9
2005-01,9
2005-02,10
2005-03,9
2005-04,11
2005-05,12
2005-06,13
2005-07,14
2005-08,15
2005-09,14
2005-10,13
2005-11,12
2005-12,12
2006-01,12
2006-02,12
2006-03,13
2006-04,12
2006-05,12
2006-06,14
2006-07,16
2006-08,18
2006-09,16
2006-10,18
2006-11,19
2006-12,19
2007-01,20
2007-02,20
2007-03,21
2007-04,20
2007-05,21
2007-06,24
2007-07,23
2007-08,24
2007-09,23
2007-10,21
2007-11,22
2007-12,25
2008-01,23
2008-02,23
2008-03,26
2008-04,26
2008-05,30
2008-06,33
2008-07,34
2008-08,36
2008-09,35
2008-10,38
2008-11,38
2008-12,40
2009-01,36
2009-02,35
2009-03,36
2009-04,44
2009-05,44
2009-06,46
2009-07,51
2009-08,62
2009-09,57
2009-10,55
2009-11,53
2009-12,57
2010-01,61
2010-02,64
2010-03,65
2010-04,66
2010-05,60
2010-06,59
2010-07,70
2010-08,76
2010-09,78
2010-10,95
2010-11,86
2010-12,84
2011-01,73
2011-02,69
2011-03,69
2011-04,62
2011-05,57
2011-06,57
2011-07,64
2011-08,70
2011-09,68
2011-10,80
2011-11,74
2011-12,78
2012-01,71
2012-02,71
2012-03,68
2012-04,71
2012-05,66
2012-06,77
2012-07,82
2012-08,77
2012-09,69
2012-10,66
2012-11,70
2012-12,75
2013-01,75
2013-02,72
2013-03,73
2013-04,79
2013-05,83
2013-06,79
2013-07,80
2013-08,82
2013-09,74
2013-10,74
2013-11,69
2013-12,81
2014-01,75
2014-02,77
2014-03,75
2014-04,82
2014-05,83
2014-06,79
2014-07,83
2014-08,81
2014-09,79
2014-10,77
2014-11,75
2014-12,76
2015-01,74
2015-02,73
2015-03,74
2015-04,86
2015-05,78
2015-06,77
2015-07,88
2015-08,87
2015-09,82
2015-10,82
2015-11,80
2015-12,86
2016-01,96
2016-02,90
2016-03,93
2016-04,92
2016-05,88
2016-06,82
2016-07,80
2016-08,76
2016-09,70
2016-10,76
2016-11,71
2016-12,100
2017-01,98
2017-02,92
2017-03,89
2017-04,88
2017-05,86
2017-06,83
2017-07,88
2017-08,86
2017-09,81
2017-10,80
2017-11,71
2017-12,76
2018-01,74
2018-02,75
2018-03,81
2018-04,80
2018-05,89
2018-06,95
2018-07,78
2018-08,76
2018-09,69
2018-10,68
2018-11,73
2018-12,70
2019-01,68
2019-02,49
2019-03,49
2019-04,64
2019-05,60
2019-06,66
2019-07,65
2019-08,75
2019-09,72
2019-10,65
2019-11,54
2019-12,60
2020-01,64
2020-02,59
2020-03,68
2020-04,76
2020-05,66
2020-06,62
2020-07,70
2020-08,71
2020-09,65
2020-10,60
2020-11,56
2020-12,66
2021-01,76
2021-02,69
2021-03,71
2021-04,74
2021-05,75
2021-06,76
2021-07,78
2021-08,80
2021-09,79
2021-10,71
2021-11,76
2021-12,77
2022-01,72
2022-02,65
2022-03,99
2022-04,98
